version;release_date
131.0;30/10/2024
130.0;11/10/2024
127.0;11/07/2024
121.0;05/12/2023
96.0;25/09/2021
93.0;05/06/2021
91.0;08/03/2021
87.0;08/09/2020
84.0;17/04/2020
83.0;19/03/2020
80.0;12/11/2019
74.0;05/03/2019
71.0;16/11/2018
70.0;06/09/2018
69.0;24/08/2018
68.0;10/06/2018
67.0;20/03/2018
66.0;11/02/2018
65.0;26/12/2017
64.0;22/10/2017
63.0;22/09/2017
62.0;31/07/2017
60.0;23/04/2017
59.0;24/03/2017
58.0;22/01/2017
57.0;21/11/2016
55.0;29/08/2016
54.0;13/07/2016
53.0;18/06/2016
52.0;17/06/2016
51.0;16/06/2016
50.0;19/01/2016
49.0;16/11/2015
48.0;05/10/2015
47.0;23/08/2015
46.0;14/07/2015
45.0;17/05/2015
44.0;06/04/2015
43.0;22/02/2015
42.0;13/01/2015
41.0;09/11/2014
40.0;28/09/2014
39.0;18/08/2014
38.0;22/06/2014
37.0;11/05/2014
36.0;31/03/2014
35.0;20/02/2014
34.0;18/12/2013
33.0;06/11/2013
32.0;25/09/2013
31.0;14/08/2013
30.0;27/06/2013
29.0;09/05/2013
28.0;31/05/2013
27.0;14/02/2013
26.0;20/12/2012
25.0;31/10/2012
23.0;09/08/2012
21.0;11/05/2012
20.0;30/03/2012
19.0;06/02/2012
17.0;09/02/2012
14.0;
13.0;
12.0;
11.0;
10.0;
9.0;
8.0;
5.0;26/05/2010
5.0 b;29/04/2010
3.0;27/05/2009
1.0;11/12/2008
0.2;02/09/2008
